DATE,HOANBS
01/01/1960,98.570
01/04/1960,98.731
01/07/1960,98.172
01/10/1960,97.259
01/01/1961,96.711
01/04/1961,96.487
01/07/1961,97.053
01/10/1961,98.293
01/01/1962,98.654
01/04/1962,99.829
01/07/1962,99.620
01/10/1962,98.990
01/01/1963,99.588
01/04/1963,100.220
01/07/1963,100.490
01/10/1963,101.276
01/01/1964,103.226
01/04/1964,103.672
01/07/1964,104.339
01/10/1964,105.357
01/01/1965,106.999
01/04/1965,108.059
01/07/1965,108.320
01/10/1965,109.349
01/01/1966,110.926
01/04/1966,112.016
01/07/1966,112.541
01/10/1966,112.243
01/01/1967,112.112
01/04/1967,111.424
01/07/1967,111.792
01/10/1967,112.300
01/01/1968,112.497
01/04/1968,113.576
01/07/1968,114.372
01/10/1968,115.081
01/01/1969,116.154
01/04/1969,117.229
01/07/1969,117.795
01/10/1969,117.437
01/01/1970,116.966
01/04/1970,115.424
01/07/1970,114.842
01/10/1970,113.960
01/01/1971,114.496
01/04/1971,114.869
01/07/1971,114.869
01/10/1971,116.103
01/01/1972,117.410
01/04/1972,118.261
01/07/1972,118.931
01/10/1972,120.176
01/01/1973,121.985
01/04/1973,123.269
01/07/1973,124.102
01/10/1973,124.720
01/01/1974,124.183
01/04/1974,124.512
01/07/1974,124.075
01/10/1974,122.024
01/01/1975,118.187
01/04/1975,117.097
01/07/1975,118.165
01/10/1975,120.201
01/01/1976,122.180
01/04/1976,122.228
01/07/1976,122.716
01/10/1976,123.379
01/01/1977,124.685
01/04/1977,127.066
01/07/1977,128.428
01/10/1977,129.688
01/01/1978,130.293
01/04/1978,134.092
01/07/1978,135.216
01/10/1978,136.855
01/01/1979,137.832
01/04/1979,138.268
01/07/1979,139.542
01/10/1979,139.836
01/01/1980,139.484
01/04/1980,136.933
01/07/1980,136.296
01/10/1980,138.138
01/01/1981,138.922
01/04/1981,139.029
01/07/1981,138.916
01/10/1981,138.297
01/01/1982,135.930
01/04/1982,136.570
01/07/1982,135.581
01/10/1982,134.306
01/01/1983,135.144
01/04/1983,136.728
01/07/1983,139.481
01/10/1983,142.100
01/01/1984,144.837
01/04/1984,146.720
01/07/1984,147.341
01/10/1984,148.282
01/01/1985,149.464
01/04/1985,150.470
01/07/1985,150.892
01/10/1985,151.651
01/01/1986,151.411
01/04/1986,151.010
01/07/1986,151.775
01/10/1986,152.915
01/01/1987,154.816
01/04/1987,155.667
01/07/1987,156.744
01/10/1987,158.385
01/01/1988,158.539
01/04/1988,160.792
01/07/1988,161.205
01/10/1988,163.017
01/01/1989,164.638
01/04/1989,165.263
01/07/1989,165.627
01/10/1989,165.625
01/01/1990,166.107
01/04/1990,165.378
01/07/1990,164.503
01/10/1990,163.803
01/01/1991,162.186
01/04/1991,161.189
01/07/1991,160.990
01/10/1991,160.725
01/01/1992,159.754
01/04/1992,160.382
01/07/1992,160.649
01/10/1992,161.668
01/01/1993,163.107
01/04/1993,164.985
01/07/1993,165.946
01/10/1993,167.514
01/01/1994,168.538
01/04/1994,171.290
01/07/1994,173.307
01/10/1994,174.015
01/01/1995,174.843
01/04/1995,174.585
01/07/1995,176.592
01/10/1995,177.027
01/01/1996,177.352
01/04/1996,179.026
01/07/1996,180.511
01/10/1996,182.586
01/01/1997,184.122
01/04/1997,185.006
01/07/1997,186.080
01/10/1997,186.949
01/01/1998,188.119
01/04/1998,189.100
01/07/1998,189.327
01/10/1998,191.660
01/01/1999,191.363
01/04/1999,192.423
01/07/1999,193.656
01/10/1999,194.460
01/01/2000,195.506
01/04/2000,195.857
01/07/2000,195.968
01/10/2000,195.174
01/01/2001,195.115
01/04/2001,192.969
01/07/2001,190.889
01/10/2001,188.675
01/01/2002,187.014
01/04/2002,187.528
01/07/2002,186.903
01/10/2002,187.092
01/01/2003,186.078
01/04/2003,185.615
01/07/2003,185.893
01/10/2003,186.759
01/01/2004,187.557
01/04/2004,187.726
01/07/2004,188.855
01/10/2004,189.884
01/01/2005,190.286
01/04/2005,191.437
01/07/2005,191.857
01/10/2005,193.142
01/01/2006,195.042
01/04/2006,195.496
01/07/2006,196.555
01/10/2006,197.238
01/01/2007,197.276
01/04/2007,198.073
01/07/2007,197.390
01/10/2007,196.927